Format Version,1.23,Take Name,feb-20_mixed-group_10-35,Take Notes,,Capture Frame Rate,100,Export Frame Rate,100,Capture Start Time,2020-02-20 10.36.04.679 AM,Total Frames in Take,184487,Total Exported Frames,184487,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,dowel01,dowel01,dowel01,dowel01,dowel01,dowel01,dowel01,dowel01,dowel02,dowel02,dowel02,dowel02,dowel02,dowel02,dowel02,dowel02,dowel07,dowel07,dowel07,dowel07,dowel07,dowel07,dowel07,dowel07,dowel10,dowel10,dowel10,dowel10,dowel10,dowel10,dowel10,dowel10,dowel06,dowel06,dowel06,dowel06,dowel06,dowel06,dowel06,dowel06,perch1,perch1,perch1,perch1,perch1,perch1,perch1,perch1,perch2,perch2,perch2,perch2,perch2,perch2,perch2,perch2,bird01,bird01,bird01,bird01,bird01,bird01,bird01,bird01,bird10,bird10,bird10,bird10,bird10,bird10,bird10,bird10,bird05,bird05,bird05,bird05,bird05,bird05,bird05,bird05,bird06,bird06,bird06,bird06,bird06,bird06,bird06,bird06,bird02,bird02,bird02,bird02,bird02,bird02,bird02,bird02,dowel15,dowel15,dowel15,dowel15,dowel15,dowel15,dowel15,dowel15,dowel05,dowel05,dowel05,dowel05,dowel05,dowel05,dowel05,dowel05,dowel14,dowel14,dowel14,dowel14,dowel14,dowel14,dowel14,dowel14,dowel03,dowel03,dowel03,dowel03,dowel03,dowel03,dowel03,dowel03,dowel04,dowel04,dowel04,dowel04,dowel04,dowel04,dowel04,dowel04,dowel13,dowel13,dowel13,dowel13,dowel13,dowel13,dowel13,dowel13,dowel09,dowel09,dowel09,dowel09,dowel09,dowel09,dowel09,dowel09,dowel11,dowel11,dowel11,dowel11,dowel11,dowel11,dowel11,dowel11,dowel08,dowel08,dowel08,dowel08,dowel08,dowel08,dowel08,dowel08,dowel16,dowel16,dowel16,dowel16,dowel16,dowel16,dowel16,dowel16,dowel12,dowel12,dowel12,dowel12,dowel12,dowel12,dowel12,dowel12,dowel17,dowel17,dowel17,dowel17,dowel17,dowel17,dowel17,dowel17,dowel18,dowel18,dowel18,dowel18,dowel18,dowel18,dowel18,dowel18
,ID,35F7B41250EE11EA69D7AB6B1FACEF9B,35F7B41250EE11EA69D7AB6B1FACEF9B,35F7B41250EE11EA69D7AB6B1FACEF9B,35F7B41250EE11EA69D7AB6B1FACEF9B,35F7B41250EE11EA69D7AB6B1FACEF9B,35F7B41250EE11EA69D7AB6B1FACEF9B,35F7B41250EE11EA69D7AB6B1FACEF9B,35F7B41250EE11EA69D7AB6B1FACEF9B,7D0021FA50F011EA69D7AB6B1FACEF9B,7D0021FA50F011EA69D7AB6B1FACEF9B,7D0021FA50F011EA69D7AB6B1FACEF9B,7D0021FA50F011EA69D7AB6B1FACEF9B,7D0021FA50F011EA69D7AB6B1FACEF9B,7D0021FA50F011EA69D7AB6B1FACEF9B,7D0021FA50F011EA69D7AB6B1FACEF9B,7D0021FA50F011EA69D7AB6B1FACEF9B,1C92ED6650F111EA69D7AB6B1FACEF9B,1C92ED6650F111EA69D7AB6B1FACEF9B,1C92ED6650F111EA69D7AB6B1FACEF9B,1C92ED6650F111EA69D7AB6B1FACEF9B,1C92ED6650F111EA69D7AB6B1FACEF9B,1C92ED6650F111EA69D7AB6B1FACEF9B,1C92ED6650F111EA69D7AB6B1FACEF9B,1C92ED6650F111EA69D7AB6B1FACEF9B,95CCFC350F211EA69D7AB6B1FACEF9B,95CCFC350F211EA69D7AB6B1FACEF9B,95CCFC350F211EA69D7AB6B1FACEF9B,95CCFC350F211EA69D7AB6B1FACEF9B,95CCFC350F211EA69D7AB6B1FACEF9B,95CCFC350F211EA69D7AB6B1FACEF9B,95CCFC350F211EA69D7AB6B1FACEF9B,95CCFC350F211EA69D7AB6B1FACEF9B,B3E88CA3511711EA69D7AB6B1FACF09B,B3E88CA3511711EA69D7AB6B1FACF09B,B3E88CA3511711EA69D7AB6B1FACF09B,B3E88CA3511711EA69D7AB6B1FACF09B,B3E88CA3511711EA69D7AB6B1FACF09B,B3E88CA3511711EA69D7AB6B1FACF09B,B3E88CA3511711EA69D7AB6B1FACF09B,B3E88CA3511711EA69D7AB6B1FACF09B,1507BD70511E11EA69D7AB6B1FACF09B,1507BD70511E11EA69D7AB6B1FACF09B,1507BD70511E11EA69D7AB6B1FACF09B,1507BD70511E11EA69D7AB6B1FACF09B,1507BD70511E11EA69D7AB6B1FACF09B,1507BD70511E11EA69D7AB6B1FACF09B,1507BD70511E11EA69D7AB6B1FACF09B,1507BD70511E11EA69D7AB6B1FACF09B,C90E5C88511E11EA69D7AB6B1FACF09B,C90E5C88511E11EA69D7AB6B1FACF09B,C90E5C88511E11EA69D7AB6B1FACF09B,C90E5C88511E11EA69D7AB6B1FACF09B,C90E5C88511E11EA69D7AB6B1FACF09B,C90E5C88511E11EA69D7AB6B1FACF09B,C90E5C88511E11EA69D7AB6B1FACF09B,C90E5C88511E11EA69D7AB6B1FACF09B,1A683AEF512011EA69D7AB6B1FACF09B,1A683AEF512011EA69D7AB6B1FACF09B,1A683AEF512011EA69D7AB6B1FACF09B,1A683AEF512011EA69D7AB6B1FACF09B,1A683AEF512011EA69D7AB6B1FACF09B,1A683AEF512011EA69D7AB6B1FACF09B,1A683AEF512011EA69D7AB6B1FACF09B,1A683AEF512011EA69D7AB6B1FACF09B,615D6A4C512011EA69D7AB6B1FACF09B,615D6A4C512011EA69D7AB6B1FACF09B,615D6A4C512011EA69D7AB6B1FACF09B,615D6A4C512011EA69D7AB6B1FACF09B,615D6A4C512011EA69D7AB6B1FACF09B,615D6A4C512011EA69D7AB6B1FACF09B,615D6A4C512011EA69D7AB6B1FACF09B,615D6A4C512011EA69D7AB6B1FACF09B,849BCC28512111EA69D7AB6B1FACF09B,849BCC28512111EA69D7AB6B1FACF09B,849BCC28512111EA69D7AB6B1FACF09B,849BCC28512111EA69D7AB6B1FACF09B,849BCC28512111EA69D7AB6B1FACF09B,849BCC28512111EA69D7AB6B1FACF09B,849BCC28512111EA69D7AB6B1FACF09B,849BCC28512111EA69D7AB6B1FACF09B,C80BBE7851AE11EA69D7AB6B1FACF09B,C80BBE7851AE11EA69D7AB6B1FACF09B,C80BBE7851AE11EA69D7AB6B1FACF09B,C80BBE7851AE11EA69D7AB6B1FACF09B,C80BBE7851AE11EA69D7AB6B1FACF09B,C80BBE7851AE11EA69D7AB6B1FACF09B,C80BBE7851AE11EA69D7AB6B1FACF09B,C80BBE7851AE11EA69D7AB6B1FACF09B,80BBD8C951AF11EA69D7AB6B1FACF09B,80BBD8C951AF11EA69D7AB6B1FACF09B,80BBD8C951AF11EA69D7AB6B1FACF09B,80BBD8C951AF11EA69D7AB6B1FACF09B,80BBD8C951AF11EA69D7AB6B1FACF09B,80BBD8C951AF11EA69D7AB6B1FACF09B,80BBD8C951AF11EA69D7AB6B1FACF09B,80BBD8C951AF11EA69D7AB6B1FACF09B,8BBCD9C5527811EA69D7AB6B1FACF09B,8BBCD9C5527811EA69D7AB6B1FACF09B,8BBCD9C5527811EA69D7AB6B1FACF09B,8BBCD9C5527811EA69D7AB6B1FACF09B,8BBCD9C5527811EA69D7AB6B1FACF09B,8BBCD9C5527811EA69D7AB6B1FACF09B,8BBCD9C5527811EA69D7AB6B1FACF09B,8BBCD9C5527811EA69D7AB6B1FACF09B,4302911C527911EA69D7AB6B1FACF09B,4302911C527911EA69D7AB6B1FACF09B,4302911C527911EA69D7AB6B1FACF09B,4302911C527911EA69D7AB6B1FACF09B,4302911C527911EA69D7AB6B1FACF09B,4302911C527911EA69D7AB6B1FACF09B,4302911C527911EA69D7AB6B1FACF09B,4302911C527911EA69D7AB6B1FACF09B,D571941534011EA69D7AB6B1FACF09B,D571941534011EA69D7AB6B1FACF09B,D571941534011EA69D7AB6B1FACF09B,D571941534011EA69D7AB6B1FACF09B,D571941534011EA69D7AB6B1FACF09B,D571941534011EA69D7AB6B1FACF09B,D571941534011EA69D7AB6B1FACF09B,D571941534011EA69D7AB6B1FACF09B,3FA7AA95534011EA69D7AB6B1FACF09B,3FA7AA95534011EA69D7AB6B1FACF09B,3FA7AA95534011EA69D7AB6B1FACF09B,3FA7AA95534011EA69D7AB6B1FACF09B,3FA7AA95534011EA69D7AB6B1FACF09B,3FA7AA95534011EA69D7AB6B1FACF09B,3FA7AA95534011EA69D7AB6B1FACF09B,3FA7AA95534011EA69D7AB6B1FACF09B,8F20668D534011EA69D7AB6B1FACF09B,8F20668D534011EA69D7AB6B1FACF09B,8F20668D534011EA69D7AB6B1FACF09B,8F20668D534011EA69D7AB6B1FACF09B,8F20668D534011EA69D7AB6B1FACF09B,8F20668D534011EA69D7AB6B1FACF09B,8F20668D534011EA69D7AB6B1FACF09B,8F20668D534011EA69D7AB6B1FACF09B,D943A135534011EA69D7AB6B1FACF09B,D943A135534011EA69D7AB6B1FACF09B,D943A135534011EA69D7AB6B1FACF09B,D943A135534011EA69D7AB6B1FACF09B,D943A135534011EA69D7AB6B1FACF09B,D943A135534011EA69D7AB6B1FACF09B,D943A135534011EA69D7AB6B1FACF09B,D943A135534011EA69D7AB6B1FACF09B,2E41AFFE534111EA69D7AB6B1FACF09B,2E41AFFE534111EA69D7AB6B1FACF09B,2E41AFFE534111EA69D7AB6B1FACF09B,2E41AFFE534111EA69D7AB6B1FACF09B,2E41AFFE534111EA69D7AB6B1FACF09B,2E41AFFE534111EA69D7AB6B1FACF09B,2E41AFFE534111EA69D7AB6B1FACF09B,2E41AFFE534111EA69D7AB6B1FACF09B,63D070CF534111EA69D7AB6B1FACF09B,63D070CF534111EA69D7AB6B1FACF09B,63D070CF534111EA69D7AB6B1FACF09B,63D070CF534111EA69D7AB6B1FACF09B,63D070CF534111EA69D7AB6B1FACF09B,63D070CF534111EA69D7AB6B1FACF09B,63D070CF534111EA69D7AB6B1FACF09B,63D070CF534111EA69D7AB6B1FACF09B,8C9B0CDF534111EA69D7AB6B1FACF09B,8C9B0CDF534111EA69D7AB6B1FACF09B,8C9B0CDF534111EA69D7AB6B1FACF09B,8C9B0CDF534111EA69D7AB6B1FACF09B,8C9B0CDF534111EA69D7AB6B1FACF09B,8C9B0CDF534111EA69D7AB6B1FACF09B,8C9B0CDF534111EA69D7AB6B1FACF09B,8C9B0CDF534111EA69D7AB6B1FACF09B,62F8F891536311EA69D7AB6B1FACF09B,62F8F891536311EA69D7AB6B1FACF09B,62F8F891536311EA69D7AB6B1FACF09B,62F8F891536311EA69D7AB6B1FACF09B,62F8F891536311EA69D7AB6B1FACF09B,62F8F891536311EA69D7AB6B1FACF09B,62F8F891536311EA69D7AB6B1FACF09B,62F8F891536311EA69D7AB6B1FACF09B,612D3416536411EA69D7AB6B1FACF09B,612D3416536411EA69D7AB6B1FACF09B,612D3416536411EA69D7AB6B1FACF09B,612D3416536411EA69D7AB6B1FACF09B,612D3416536411EA69D7AB6B1FACF09B,612D3416536411EA69D7AB6B1FACF09B,612D3416536411EA69D7AB6B1FACF09B,612D3416536411EA69D7AB6B1FACF09B,2787820F540A11EA69D7AB6B1FACF09B,2787820F540A11EA69D7AB6B1FACF09B,2787820F540A11EA69D7AB6B1FACF09B,2787820F540A11EA69D7AB6B1FACF09B,2787820F540A11EA69D7AB6B1FACF09B,2787820F540A11EA69D7AB6B1FACF09B,2787820F540A11EA69D7AB6B1FACF09B,2787820F540A11EA69D7AB6B1FACF09B,7000B12D540B11EA69D7AB6B1FACF09B,7000B12D540B11EA69D7AB6B1FACF09B,7000B12D540B11EA69D7AB6B1FACF09B,7000B12D540B11EA69D7AB6B1FACF09B,7000B12D540B11EA69D7AB6B1FACF09B,7000B12D540B11EA69D7AB6B1FACF09B,7000B12D540B11EA69D7AB6B1FACF09B,7000B12D540B11EA69D7AB6B1FACF09B
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.02,-0.048761,0.995263,0.014025,-0.082927,0.352837,0.193868,1.504902,0.000139,-0.055152,0.09434,0.011225,-0.993948,0.014416,0.186106,1.313533,0.000268,0.009592,0.981427,-0.024431,-0.190034,0.367747,0.203089,1.285111,0.000294,-0.030202,0.950367,-0.031232,-0.308084,0.23493,0.143155,1.350762,0.000451,-0.006572,0.999558,0.028139,-0.00697,0.475261,0.277522,1.314896,0.000509,-0.011527,0.995892,-0.085628,-0.027094,0.19567,0.203343,2.503134,0.000058,0.002981,0.999299,-0.007078,-0.036629,0.183113,0.200855,-0.039426,0.000404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00616,0.999752,0.020743,-0.005264,-0.117638,0.286517,1.131923,0.000243,0.030816,0.990958,0.030455,0.126986,0.242636,0.152515,0.973644,0.000571,,,,,,,,,-0.016264,0.150404,-0.021925,-0.988248,-0.047038,0.223098,0.961337,0.000398,0.045298,0.02796,-0.007659,-0.998553,0.135102,0.118173,1.472124,0.000341,-0.034097,-0.022588,0.012011,-0.999091,0.120742,0.159133,1.284231,0.000339,0.051486,0.975476,0.008358,-0.213836,0.080002,0.164234,1.114278,0.000267,0.031516,0.003709,0.031625,-0.998996,0.376618,0.230752,0.982731,0.000979,,,,,,,,,,,,,,,,,0.054364,-0.066446,0.012955,-0.996224,0.502087,0.298179,0.952153,0.000843,0.02098,0.111956,0.010272,-0.993439,-0.126137,0.334282,1.272078,0.000077,-0.021143,-0.005137,-0.001335,-0.999762,-0.014345,0.198864,1.531591,0.000186
3,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
